,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
246,Egvekinot,0,RU,1547265685,0,66.32,-179.17,-44.17,2.59
247,Beni,8,CD,1547265685,84,0.49,29.47,58.39,2.71
248,Zhigansk,48,RU,1547265333,66,66.77,123.37,-22.17,9.19
249,Mora,0,PT,1547265685,87,38.94,-8.17,31.12,5.95
250,Margate,0,AU,1547263800,19,-43.03,147.26,75.2,20.8
251,Lloydminster,40,CA,1547262000,84,53.28,-110.01,6.8,13.87
252,Sosnogorsk,88,RU,1547265686,75,63.59,53.93,14.92,10.54
253,Constitucion,0,MX,1547265330,53,23.99,-104.67,51.64,7.18
254,Liling,90,CN,1547262000,93,27.65,113.49,39.2,2.24
255,Katangli,0,RU,1547265690,100,51.71,143.23,9.34,16.02
256,Elko,90,US,1547261760,81,40.83,-115.76,26.96,5.82
257,Tautira,90,PF,1547264040,74,-17.73,-149.15,84.2,13.87
258,Chabahar,0,IR,1547265691,100,25.29,60.65,67.43,13.22
259,Saint-Francois,90,FR,1547263800,100,46.42,3.91,35.6,2.24
260,Touros,20,BR,1547262000,83,-5.2,-35.46,77,4.7
261,Hermanus,12,ZA,1547265417,100,-34.42,19.24,48.49,3.15
262,Lakes Entrance,8,AU,1547265692,47,-37.88,147.99,86.06,8.86
263,Brae,92,GB,1547263200,93,60.4,-1.35,46.4,20.8
264,Bathsheba,20,BB,1547262000,73,13.22,-59.52,77,16.11
265,Poso,12,ID,1547265693,98,-1.4,120.75,83.09,3.38
266,Port Blair,40,IN,1547262000,83,11.67,92.75,82.4,10.29
267,San Patricio,80,PY,1547265007,82,-26.98,-56.83,78.1,3.94
268,Ostrovnoy,88,RU,1547265081,89,68.05,39.51,21.53,10.65
269,Kodiak,90,US,1547264100,100,39.95,-94.76,33.8,8.05
270,Kaabong,0,UG,1547265694,56,3.51,34.14,59.65,7.18
271,Acajutla,0,SV,1547265452,85,13.59,-89.83,71.26,2.37
272,Aksehir,56,TR,1547265694,100,38.36,31.42,31.66,5.28
273,Soufriere,40,LC,1547262000,83,13.86,-61.06,78.8,21.92
274,Ilulissat,0,GL,1547261400,43,69.22,-51.1,-7.61,2.24
275,Ciudad Bolivar,0,VE,1547265695,54,8.12,-63.55,82.42,15.35
276,Curuguaty,48,PY,1547265696,91,-24.47,-55.69,73.64,2.15
277,Pimentel,92,BR,1547265696,100,-3.7,-45.5,70.13,3.83
278,Nikolskoye,75,RU,1547263800,79,59.7,30.79,32,13.42
279,Barrow,0,AR,1547265012,56,-38.31,-60.23,61.67,12.1
280,Santa Luzia,0,BR,1547262000,73,-19.77,-43.85,73.4,6.93
281,Amot,32,NO,1547265697,76,59.57,7.99,9.29,2.04
282,Lagoa,0,PT,1547262000,39,37.14,-8.45,48.2,9.17
283,Flinders,0,AU,1547262000,52,-34.58,150.85,89.6,12.75
284,Ustye,32,RU,1547265698,83,58.76,27.79,24.32,12.66
285,Bonnyville,75,CA,1547262000,85,54.27,-110.74,10.4,8.05
286,Naberera,12,TZ,1547265698,95,-4.2,36.93,61.81,2.82
287,Forbes,0,AU,1547265699,67,-33.38,148.01,89.62,4.83
288,Taksimo,64,RU,1547265699,58,56.36,114.84,-8.67,1.7
289,Yorkton,40,CA,1547262000,91,51.21,-102.46,3.2,3.36
290,Sweetwater,1,US,1547264100,97,32.47,-100.41,55.04,5.82
291,Puerto Escondido,0,MX,1547265505,100,15.86,-97.07,80.89,4.94
292,Loviisa,0,FI,1547263200,92,60.46,26.23,28.4,8.05
293,Honiara,80,SB,1547265527,98,-9.43,159.96,79.27,2.37
294,Alice Springs,0,AU,1547264640,13,-23.7,133.88,105.8,11.41
295,Ambam,0,NG,1547265701,40,9.52,8.32,61.22,7.4
296,NEDJO,0,ET,1547265701,74,9.5,35.5,47.5,3.38
297,Minas,0,UY,1547262000,77,-34.38,-55.24,60.8,9.17
298,Tasiilaq,80,GL,1547261400,73,65.61,-37.64,19.4,10.29
299,Cape Town,0,ZA,1547262000,100,-33.93,18.42,53.6,5.82
300,Kapit,36,MY,1547265702,81,2.02,112.94,82.82,1.7
301,Katherine,0,AU,1547263800,53,-14.47,132.26,95,9.17
302,Bilibino,12,RU,1547265459,59,68.06,166.44,-20.95,2.71
303,Birjand,0,IR,1547262000,52,32.86,59.22,19.4,4.7
304,Nome,90,US,1547264100,84,30.04,-94.42,57.56,11.41
305,Leningradskiy,8,RU,1547265703,88,69.38,178.42,-14.2,14.45
306,Tibati,0,CM,1547265704,43,6.47,12.63,64.6,8.52
307,Nanortalik,48,GL,1547265543,89,60.14,-45.24,31.07,43.87
308,Troitskoye,80,RU,1547265704,75,52.98,84.68,-0.12,4.05
309,Castro,90,CL,1547262000,100,-42.48,-73.76,53.6,5.82
310,Mana,40,RS,1547263800,100,43.52,20.24,15.8,2.24
311,Coquimbo,0,CL,1547262000,82,-29.95,-71.34,59,5.82
312,Spas-Demensk,88,RU,1547265705,81,54.41,34.03,7.58,8.97
313,Cimitarra,8,CO,1547265705,89,6.31,-73.95,71.39,2.71
314,Qixingtai,100,CN,1547265706,100,30.41,111.89,36.79,2.26
315,Lisala,92,CD,1547265707,70,2.15,21.52,76.57,8.63
316,Yar-Sale,48,RU,1547265708,74,66.83,70.83,-11.05,18.03
317,Jurm,64,AF,1547265708,94,36.86,70.83,5.87,1.36
318,Upernavik,32,GL,1547265446,100,72.79,-56.15,-6.28,5.73
319,Yerbogachen,44,RU,1547265794,60,61.28,108.01,-7.5,6.96
320,Mumford,32,GH,1547265709,94,5.26,-0.76,77.47,5.06
321,Biryukove,75,UA,1547263800,86,47.96,39.74,33.8,24.61
322,Kamariotissa,75,GR,1547265000,86,40.48,25.47,42.8,12.75
323,Galle,40,US,1547265180,96,29.74,-97.91,59.36,4.7
324,Lerwick,76,GB,1547263200,81,60.15,-1.15,46.4,29.97
325,Huarmey,44,PE,1547265710,94,-10.07,-78.15,65.36,3.83
326,Vao,44,EE,1547265711,85,59.1,26.19,31.43,11.43
327,Cheremukhovo,68,RU,1547265711,85,56.23,46.23,13.79,7.52
328,Oksfjord,90,NO,1547263200,86,70.24,22.35,33.8,65.54
329,Vytegra,92,RU,1547265711,93,61.01,36.45,23.96,20.38
330,Biu,0,NG,1547265712,39,10.61,12.19,61.13,7.63
331,Aykhal,24,RU,1547265353,32,65.95,111.51,-23.34,6.62
332,Severomuysk,36,RU,1547265712,80,56.17,113.57,-7.9,2.48
333,Taoudenni,12,ML,1547265540,39,22.68,-3.98,42.77,8.97
334,Labuhan,32,ID,1547265714,73,-2.54,115.51,85.97,3.15
335,Mauguio,0,FR,1547263800,60,43.62,4.01,42.8,11.41
336,Pompeu,0,BR,1547262000,61,-21.05,-48.85,77,8.63
337,La Baule-Escoublac,90,FR,1547263800,87,47.28,-2.4,44.6,4.7
338,Ushtobe,92,KZ,1547265801,92,45.25,77.98,25.72,4.94
339,Cururupu,92,BR,1547265420,100,-1.82,-44.87,73.64,2.71
340,Palmeira das Missoes,92,BR,1547265437,90,-27.9,-53.31,71.93,10.76
341,Umm Kaddadah,0,SD,1547265461,37,13.6,26.69,54.25,8.75
342,Dharchula,0,IN,1547265720,73,29.85,80.53,23.78,1.7
343,Bose,0,IT,1547265000,79,45.46,8.01,32,2.24
344,Cassia,1,US,1547265180,89,28.89,-81.47,62.96,4.7
345,Morant Bay,20,JM,1547262000,61,17.88,-76.41,77,3.36
346,Vestmannaeyjar,0,IS,1547265722,97,63.44,-20.27,41.74,24.29
347,Lanxi,68,CN,1547265723,99,29.21,119.46,46.96,2.82
348,Narsaq,75,GL,1547261400,51,60.91,-46.05,37.4,24.16
349,Kalmunai,88,LK,1547265494,100,7.42,81.82,74.05,6.4
350,New Glasgow,44,CA,1547265610,78,45.59,-62.65,20.27,8.3
351,Sisimiut,0,GL,1547265725,100,66.94,-53.67,-21.04,3.15
352,Takoradi,12,GH,1547265725,100,4.89,-1.75,80.44,4.38
353,Atuona,0,PF,1547265040,100,-9.8,-139.03,81.47,16.24
354,Chopan,0,IN,1547265726,87,24.52,83.02,52.99,2.82
355,Macapa,75,BR,1547262000,100,0.05,-51.07,77,6.93
356,Port Hedland,0,AU,1547263800,59,-20.31,118.58,93.2,14.99
357,Jardim,44,BR,1547265726,92,-21.48,-56.15,74.36,1.92
358,La Peca,12,PE,1547265726,99,-5.61,-78.44,61.13,2.15
359,Tayshet,36,RU,1547265727,69,55.94,98.01,-5.83,2.48
360,Klyuchi,32,RU,1547265515,73,52.25,79.17,-6.24,7.85
361,Severobaykalsk,0,RU,1547265728,69,55.65,109.32,-17.67,2.93
362,Anahuac,90,US,1547265300,93,29.77,-94.68,62.06,9.17
363,Jarwal,0,IN,1547265729,86,27.12,81.54,52.04,2.82
364,Gat,0,SN,1547263800,77,14.69,-16.54,68,16.11
365,Quepos,0,CR,1547262000,68,9.43,-84.16,69.8,11.41
366,Aklavik,90,CA,1547262000,74,68.22,-135.01,-22.01,4.7
367,Kruisfontein,8,ZA,1547265730,87,-34,24.73,63.83,20.71
368,Berlevag,68,NO,1547265730,100,70.86,29.09,19.6,4.38
369,Laramie,90,US,1547263740,100,41.31,-105.59,30.2,8.05
370,Gorontalo,44,ID,1547265730,67,0.54,123.06,86.24,2.59
371,Sao Filipe,0,CV,1547265731,99,14.9,-24.5,71.66,10.87
372,Fortuna,0,ES,1547263800,55,38.18,-1.13,33.8,8.05
373,Cockburn Town,12,TC,1547265536,100,21.46,-71.14,76.75,13.78
374,Orlik,24,RU,1547265517,62,52.51,99.83,-17.94,2.04
375,Teluknaga,40,ID,1547263800,66,-6.1,106.64,86,8.05
376,Darhan,36,MN,1547265819,74,49.49,105.92,-1.51,3.04
377,Sakaraha,68,MG,1547265734,97,-22.91,44.53,70,11.88
